Numer rejestracyjny pojazdu,Marka pojazdu,Pojemnosc skokowa silnika,Moc silnika,Rok produkcji,Masa wlasna,Dopuszczalna masa calkowita,Rozstaw osi,Wysokosc,Pojemnosc zbiornika wody,Ilosc drzwi
DAFTWGR,Audi,1.2,121,2012,193,1227,3428,1940,Elektryczny,5
GLCJXPV,Volkswagen,1.0,146,1991,422,1318,2656,1518,LPG,2
OWALFSF,BMW,1.0,372,2000,485,2868,2811,1537,Elektryczny,5
KOERYWK,Audi,1.2,259,2004,408,2053,2652,1792,Diesel,2
AREQCSJ,Toyota,2.5,396,2020,76,1183,2522,1744,LPG,2
TRJJXVV,Toyota,1.2,172,2001,181,2396,3112,1869,Diesel,5
POBXAIZ,Volkswagen,1.5,61,1991,494,1936,2819,1590,Diesel,5
POQSLYP,BMW,2.5,248,2002,57,2084,3194,1583,Benzyna,2
MAHIVRG,Toyota,2.5,113,1995,219,1298,3298,1419,Elektryczny,4
DARFCHT,Audi,2.0,191,2014,64,1570,3167,1529,LPG,2
ORXECMO,Audi,2.0,313,2014,276,1405,3430,1789,Benzyna,4
BYRWVIG,Audi,1.5,336,2001,232,2086,3203,1718,Benzyna,4
WOQSITS,Audi,2.5,338,2016,366,2916,2681,1848,LPG,4
PRIYTFA,Volkswagen,1.2,72,1995,391,1514,2589,1837,Benzyna,4
KAUUTQZ,Toyota,2.0,254,2013,290,1900,3459,1815,Elektryczny,4
NOJMTZX,Audi,2.5,258,2021,103,2610,3279,1968,Diesel,5
GALRTCP,Audi,1.2,101,2005,289,1367,2830,1483,Benzyna,5
ROWQPCC,Toyota,1.0,396,2017,275,2067,2928,1700,LPG,2
DWTPLSM,Toyota,1.5,312,2020,187,2009,3058,1473,Diesel,4
AGPOLCS,Audi,2.5,215,2013,392,1645,2820,1580,Diesel,5
RACWBBI,Toyota,1.0,232,2023,439,2437,3305,1458,LPG,4
KOTIDXC,Ford,1.0,149,2013,61,1214,3034,1572,Elektryczny,2
POLTHLV,Audi,1.2,96,2012,410,2197,2732,1699,Elektryczny,5
OLIWNDA,BMW,2.5,392,1991,192,2958,3431,1987,Benzyna,4
RESDPCG,Toyota,1.5,284,1995,324,1345,2944,1728,Elektryczny,4
CICKACA,Volkswagen,1.0,107,2006,293,1476,2809,1896,LPG,4
KOXTILP,BMW,1.2,316,2014,353,2653,3447,1950,Benzyna,5
SKKMAKZ,Toyota,1.0,52,2000,391,2157,2589,1514,Benzyna,4
WOOEXZW,Ford,2.0,373,2016,408,1565,2818,1771,Diesel,2
BOZLYUO,Volkswagen,1.0,176,2010,128,1387,2674,1464,LPG,5
RYCNJVG,Volkswagen,1.0,63,1995,342,2324,2733,1448,LPG,2
