Numer rejestracyjny pojazdu,Marka pojazdu,Pojemnosc skokowa silnika,Moc silnika,Rok produkcji,Masa wlasna,Dopuszczalna masa calkowita,Rozstaw osi,Wysokosc,Pojemnosc zbiornika wody,Ilosc drzwi
LEMKWRO,Volkswagen,1.5,90,2014,168,1473,3387,1450,Elektryczny,2
LEJKLEE,BMW,1.5,190,2013,196,1954,2660,1928,Diesel,5
MAOCIDM,Toyota,1.5,377,2018,414,2824,2861,1542,LPG,4
TYFQWCY,Volkswagen,1.2,124,2000,473,2646,3076,1492,Diesel,2
OLSPMVK,Ford,1.5,400,2011,343,1983,2548,1401,Benzyna,2
CZNQMKT,Ford,2.0,379,1991,70,1361,3336,1597,Diesel,4
TOCTWIW,BMW,1.5,242,1990,453,1694,3020,1804,LPG,5
RZPAXPJ,Toyota,1.5,316,2012,324,1735,2864,1429,Benzyna,2
BUUAGQZ,Audi,2.5,369,1991,232,2988,2777,1931,Diesel,5
KAIKBVY,Ford,1.2,135,2022,316,2070,3357,1737,Diesel,4
SLMGJRG,Audi,1.0,241,2016,341,1504,2862,1554,Diesel,4
DLHUFUO,Volkswagen,1.2,321,2002,413,1697,2828,1476,Elektryczny,2
PSHJJUM,Volkswagen,1.5,97,2001,316,2855,2847,1709,Benzyna,4
AZIQJZY,Volkswagen,2.5,103,1998,418,2457,3450,1981,Benzyna,5
HUNWMXU,Audi,1.0,330,2020,192,2231,2749,1454,Elektryczny,2
ZWSLSHP,Volkswagen,1.2,215,1992,477,2747,3226,1786,Elektryczny,5
NAIQDHK,Volkswagen,1.0,352,2016,129,1833,3070,1446,LPG,2
PLYEPTD,Ford,2.5,141,2006,309,1352,2963,1990,Benzyna,5
ZAFVFZN,Toyota,1.2,81,2001,253,1180,3479,1851,Diesel,4
SWLIGBC,Volkswagen,1.5,210,2003,115,2045,3202,1747,Diesel,2
POLPRNM,Toyota,2.0,300,2005,91,2429,2949,1941,Elektryczny,4
JAQRLHL,Volkswagen,1.5,361,2002,115,1133,3206,1425,Benzyna,4
ORINEVP,Ford,2.5,171,1998,205,1277,3128,1677,Elektryczny,5
SZYHHFZ,Ford,1.2,159,2022,462,1534,3084,1551,Benzyna,4
JAICZJX,Ford,1.5,262,2002,297,1927,2709,1565,Benzyna,2
SKBWBLD,Toyota,1.0,131,2004,278,2507,2581,1797,Benzyna,4
WYTOMHV,Ford,1.2,95,2010,188,2812,3050,1428,Diesel,5
SZSZENJ,Volkswagen,2.0,199,1991,447,2123,2634,1926,Elektryczny,4
RAGQGLH,Audi,2.5,320,2019,87,2849,2598,1882,Elektryczny,4
KOMQMLI,Toyota,1.0,167,2021,282,1208,2921,1456,Benzyna,2
MAUMDJQ,Toyota,1.5,210,1992,455,1091,3353,1511,LPG,4
OGYEWQH,Audi,1.0,205,2001,345,2267,3436,1476,Benzyna,4
POJORLU,Volkswagen,2.0,109,2002,106,1846,3329,1655,Benzyna,5
POBKDUN,BMW,1.2,153,2001,402,1149,2856,1458,Diesel,4
AKUNKYH,Audi,2.0,61,2007,281,1447,3331,1639,LPG,4
POQYLFF,Ford,2.5,127,2010,75,1010,3256,1746,LPG,4
SKQZHZU,BMW,2.5,104,1994,303,2586,3155,1916,Elektryczny,5
KOZYAMS,BMW,1.5,199,2010,130,1881,3145,1791,Diesel,2
DLNBPVK,Volkswagen,1.0,277,2002,265,2071,3425,1747,LPG,2
MAGHGXW,Audi,2.5,52,2013,257,1391,2921,1455,Diesel,5
STJVDYB,Ford,1.0,343,2022,347,1072,3064,1954,Elektryczny,2
DLTERKX,Audi,1.2,272,2018,87,1276,2775,1824,Benzyna,5
SKSEFEK,Volkswagen,2.5,285,1998,312,1422,2781,1687,Elektryczny,5
CIYFLLS,Ford,1.2,309,2017,465,2095,2651,1833,Elektryczny,5
SLQMYYF,Ford,1.5,267,2019,430,1492,3026,1405,LPG,4
KOKCEAJ,Volkswagen,2.0,350,2020,357,1430,3356,1848,Elektryczny,5
GRRVPNE,Toyota,2.0,281,1995,472,1245,3457,1733,Elektryczny,4
SORYEAW,Volkswagen,1.2,192,1996,428,1930,3478,1757,Diesel,4
ROFWIBB,Audi,1.5,145,1998,103,1210,3127,1715,Diesel,2
PIXDYUN,Audi,1.2,271,2001,234,1813,3447,1676,LPG,4
WIUKSFN,Ford,1.0,248,2007,203,2849,3151,1890,Elektryczny,4
OGZFAFP,Toyota,1.0,246,2025,434,2684,3364,1912,Diesel,4
